1499160454, JL04002P, estimote: n2-dog, 
1499160454, JL04002P, estimote: n5-dog, 
1499160455, JL04002P, estimote: n2-dog, 
1499160456, JL04002P, estimote: n2-dog, 
1499160456, JL04001P, estimote: n5-fridge, 
1499160457, JL04002P, estimote: n2-dog, 
1499160457, JL04001P, estimote: n5-fridge, 
1499160458, JL04001P, estimote: n5-fridge, 
1499160459, JL04001P, estimote: n5-fridge, 
1499160460, JL04002P, estimote: n5-bed, 
1499160460, JL04002P, estimote: n5-dog, 
1499160460, JL04001P, estimote: n5-fridge, 
1499160461, JL04002P, estimote: n5-bed, 
1499160461, JL04002P, estimote: n5-dog, 
1499160462, JL04002P, estimote: n5-generic, 
1499160462, JL04002P, estimote: n5-bed, 
1499160462, JL04002P, estimote: n5-dog, 
1499160463, JL04002P, estimote: n4-bag, 
1499160463, JL04002P, estimote: n5-generic, 
1499160463, JL04002P, estimote: n5-bed, 
1499160463, JL04002P, estimote: n5-dog, 
1499160464, JL04002P, estimote: n4-bag, 
1499160464, JL04002P, estimote: n2-car, 
1499160464, JL04002P, estimote: n1-car, 
1499160464, JL04002P, estimote: n5-generic, 
1499160464, JL04002P, estimote: n5-bed, 
1499160464, JL04002P, estimote: n5-dog, 
1499160465, JL04002P, estimote: n4-bag, 
1499160465, JL04002P, estimote: n2-car, 
1499160465, JL04002P, estimote: n1-car, 
1499160465, JL04002P, estimote: n5-generic, 
1499160465, JL04002P, estimote: n5-bed, 
1499160465, JL04002P, estimote: n5-dog, 
1499160466, JL04002P, estimote: n4-bag, 
1499160466, JL04002P, estimote: n2-car, 
1499160466, JL04002P, estimote: n1-car, 
1499160466, JL04002P, estimote: n5-generic, 
1499160466, JL04002P, estimote: n5-bed, 
1499160466, JL04002P, estimote: n5-dog, 
1499160467, JL04002P, estimote: n4-bag, 
1499160467, JL04002P, estimote: n2-car, 
1499160467, JL04002P, estimote: n1-car, 
1499160467, JL04002P, estimote: n5-bed, 
1499160467, JL04002P, estimote: n5-dog, 
1499160468, JL04002P, estimote: n2-car, 
1499160468, JL04002P, estimote: n1-car, 
1499160468, JL04002P, estimote: n5-bed, 
1499160469, JL04002P, estimote: n1-car, 
1499160469, JL04002P, estimote: n5-bed, 
1499160470, JL04002P, estimote: n1-car, 
1499160471, JL04002P, estimote: n1-car, 
1499160471, JL04002P, estimote: n5-dog, 
